id,name,host_id,neighbourhood_cleansed,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
1123383729460847373,Furnished room in well equipped serviced apartment,206488801,Parkviertel,52.5609,13.35,Private room,117.0,93,0,,0.0,180
1205255838613758737,Luxurous game room with private bath in X-Berg,50009901,nördliche Luisenstadt,52.5048115,13.4153243,Private room,95.0,1,34,2024-12-15,9.53,305
886772024913265656,Studio in the heart of Berlin,12360,Alexanderplatz,52.52716,13.4106,Entire home/apt,59.0,92,2,2024-06-22,0.13,240
13761071,Central flat near Alex with fiber optic Internet,80675177,Alexanderplatz,52.51024,13.41684,Entire home/apt,224.0,5,358,2024-12-18,3.49,237
949319254792501534,Silent-Spacious-Green-Apartment,529489961,Alt  Treptow,52.48849602829139,13.44794636997527,Entire home/apt,154.0,2,7,2024-10-15,0.43,5
1697691,Charming flat w.Balcony | Perfect location,4647121,Reuterstraße,52.48762,13.43185,Entire home/apt,163.0,3,73,2024-12-08,0.56,73
1004454780293034887,Large room in city centre with private bathroom,66951992,Prenzlauer Berg Süd,52.52974171508959,13.424912857147206,Private room,73.0,2,38,2024-12-15,2.81,127
1088989026547588172,cozy and cool Apt. in  Moabit,69323623,Moabit West,52.53096918661826,13.332679644227028,Entire home/apt,130.0,2,10,2024-09-29,1.13,232
32116312,Misty Forest Hotel-Apartment in Friedrichshain,174136994,Frankfurter Allee Nord,52.51756,13.46978,Hotel room,181.0,2,119,2024-12-02,1.66,290
1239840013506611065,"Room in Pankow, top location next to Bürgerpark",5064065,Schönholz/Wilhelmsruh/Rosenthal,52.57224,13.39554,Private room,40.0,3,0,,0.0,138
28532851,Quiet & Small (LINDEMANN'S),215178674,Schöneberg-Nord,52.49379,13.36134,Hotel room,82.0,1,536,2024-12-18,7.33,241
15935417,"Central & calm appartement, Schönhauser Allee",27992532,Prenzlauer Berg Nord,52.55008,13.41415,Entire home/apt,38.0,300,14,2020-04-30,0.15,265
43466772,Myhappyplace two in the middle of Berlin,341282198,Moabit West,52.52888,13.34043,Entire home/apt,180.0,3,73,2024-11-02,1.32,336
8564167,"Spacious, bright room in the heart of Berlin",16712308,Alexanderplatz,52.52971,13.40452,Private room,159.0,1,78,2024-10-05,0.74,179
21198159,For Ladies: Spacious Room in Berlin Tempelhof,8102035,Tempelhof,52.47319,13.37802,Private room,40.0,3,12,2024-10-17,0.15,56
1093539576725450151,URBAN FLATS Berlin | Flat No. 301 | City Center,546288100,Alexanderplatz,52.52456238562732,13.398584202102011,Entire home/apt,196.0,2,31,2024-12-04,3.23,90
1086385381069620109,URBAN FLATS Berlin | Flat No. 202 | City Center,546288100,Alexanderplatz,52.52435,13.39856,Entire home/apt,210.0,2,35,2024-12-05,3.61,74
725003625720262728,"Stylish, quit and bright room with beautiful view.",2616245,Alt  Treptow,52.48979989999999,13.4524887,Private room,93.0,1,96,2024-10-27,3.65,71
47025864,"Beautiful, large apartment near Rosenthaler Platz",4485354,Brunnenstr. Süd,52.5299,13.3991,Entire home/apt,300.0,1,116,2024-11-02,2.52,93
568524485826835987,Numa | Large 1-Bedroom Apartment with Sofabed,371913052,Karl-Marx-Allee-Süd,52.50367,13.446684,Entire home/apt,145.0,1,42,2024-12-11,1.26,314
955723028027971655,Sunny Top Floor with Balcony Lounge in Kreuzberg,148488060,südliche Luisenstadt,52.49683762364134,13.42627570828214,Entire home/apt,263.0,4,12,2024-09-30,0.78,20
1162164016027964062,Numa | Spacious Room with Balcony in Berlin,578973475,Kurfürstendamm,52.50366289999999,13.3386821,Entire home/apt,82.0,1,30,2024-11-29,4.81,334
1216475418788371601,Bright Cosy Room with Balcony,268520572,Karl-Marx-Allee-Nord,52.52156314549018,13.444711699214391,Private room,100.0,4,5,2024-10-13,1.44,88
939185728575965294,Space + Hygge feeling 130 qm,492790133,Wedding Zentrum,52.55396,13.37901,Entire home/apt,297.0,2,5,2023-09-10,0.29,301
851851808067853023,Grand art nouveau apartment in midcentury style,35360813,Schöneberg-Süd,52.4866634,13.3601497,Entire home/apt,200.0,92,1,2023-11-30,0.08,272
48745871,Schöne Apartments zentral in Berlin 2-3 Personen,392212504,Regierungsviertel,52.507736,13.388472,Private room,170.0,1,34,2022-08-28,0.82,0
1284004661358235112,"Blueground | Prenzlauer Berg, furnished & equipped",434485440,Prenzlauer Berg Süd,52.5316459,13.4212044,Entire home/apt,135.0,92,0,,0.0,265
1275268623195133131,Helle 3 Zimmer Altbau 107 m2,48666378,Parkviertel,52.55161133638012,13.344019808403846,Entire home/apt,73.0,92,0,,0.0,362
817316233912290537,Sunny apartment in a quiet location,159493970,Alt  Treptow,52.48925556414453,13.444628316624105,Entire home/apt,209.0,4,12,2024-09-30,0.65,18
4083538,Friedrichshain-Kreuzberg: Best Area & Self-Checkin,21179795,Karl-Marx-Allee-Süd,52.51103,13.44785,Entire home/apt,87.0,5,123,2024-12-16,0.98,3
37446212,"Rosa-Luxemb.-Pl.-Apartm., 3 Monate Mindestmietzeit",6522168,Prenzlauer Berg Südwest,52.52998,13.40718,Entire home/apt,62.0,92,163,2023-12-13,2.5,93
27153586,Ruhiges Altbau-Zimmer in Kreuzberg direkt am Park,23053909,Tempelhofer Vorstadt,52.49632,13.38101,Private room,50.0,2,77,2024-12-01,1.07,71
792795513324956525,Zimmer in Moabit mit Loggia,13176887,Moabit West,52.5298428,13.3358041,Private room,56.0,1,38,2024-12-09,1.71,3
13704364,"Zimmer (fast) in Schöneberg, ruhig und zentral",79000226,Tiergarten Süd,52.50213,13.3571,Private room,50.0,14,36,2024-09-07,0.35,89
21038831,Vintage Vibes: Spacious 4-Room Apartment in Mitte,12360,Alexanderplatz,52.52431,13.40961,Entire home/apt,114.0,92,4,2020-08-18,0.05,95
26343916,Urban Paradise with big terrace/next to Mauerpark,7458512,Prenzlauer Berg Nordwest,52.54817,13.40361,Entire home/apt,250.0,7,9,2024-08-19,0.24,158
16224457,Beautiful sunny loft with balcony in Mitte,20115491,Brunnenstr. Süd,52.53221,13.40386,Entire home/apt,260.0,60,21,2024-08-31,0.21,238
13069376,Flat in Prenzlauer Berg for Families in Berlin,1427952,Prenzlauer Berg Südwest,52.53143,13.41997,Entire home/apt,138.0,2,40,2024-10-23,1.36,4
35445340,1-Beautiful double room apartment in Schöneberg,265635773,Schöneberg-Nord,52.49581,13.34928,Entire home/apt,65.0,92,1,2021-10-01,0.03,308
44453937,Studio nahe Hauptbahnhof exkl. für Geschäftsleute,4023263,Moabit Ost,52.53145,13.36086,Private room,35.0,93,3,2023-11-01,0.1,213
1072585204593781257,4 Zimmer-Apartment am Kurfürstendamm City Center,54039179,Neue Kantstraße,52.50102058129975,13.304937157069734,Entire home/apt,243.0,2,5,2024-12-01,0.61,86
53332699,Schöne helle Wohnung in Berlin-Neukölln,8103468,Neuköllner Mitte/Zentrum,52.47322,13.43078,Entire home/apt,86.0,3,9,2024-06-03,0.3,124
